"P. O. #","Other 1"
"12523","165936"
"12524","165937"
"12524","165938"
"111-9064493-6358603","165939"
"12528","165940"
"12529","WHSE"
"12529",
"12530","165941"
"12530",
"111-7017172-8952203","165942"
"12531","WHSE"
"12532","165943"
"12533","WHSE"
"12534","165944"
"111-4035783-7747455","165945"
"112-5800087-1381000","165946"
"111-9141243-3545842","165947"
"114-5040092-3294667","165948"
"111-2466683-1385812","165949"
"111-3716860-1546609","165950"
"12539","165952"
"112-5586665-8541030","165953"
"114-5728939-5230600","165954"
"111-4491236-7005053","165955"
"12540","165957"
"12541","165959"
"12542","165960"
"12542","165960"
"12542","165960"
"12542",
"113-8079542-5260240","165961"
"113-9446813-4784242","165962"
"112-0538166-7000249","165965"
"114-1799478-3662622","165966"
"TOTAL",
